latitud,longitud,identificador
-34.869128,-58.048816,LP10587
-34.870007,-58.049465,LP10589
-34.870906,-58.050098,LP10591
-34.867709,-58.046954,LP11597
-34.876079,-58.044114,LP10128
-34.869773,-58.039607,LP10600
-34.874260,-58.042785,LP10602
-34.872325,-58.041433,LP11713
-34.866341,-58.042268,LP10881
-34.867940,-58.038754,LP10883
-34.882611,-58.048775,LP11300
-34.881405,-58.047978,LP11301
-34.877765,-58.045350,LP11564
-34.879578,-58.046659,LP11565
-34.895550,-57.994788,LP0733
-34.894872,-57.997867,LP2551
-34.901193,-57.981658,LP10111
-34.901708,-57.971160,LP10675
-34.902812,-57.972290,LP10676
-34.904667,-57.974173,LP10677
-34.899437,-57.983945,LP11503
-34.905624,-57.975861,LP2701
-34.904447,-57.977214,LP2703
-34.902815,-57.979440,LP2705
-34.901978,-57.980400,LP2707
-34.898498,-58.042269,LP10387
-34.899156,-58.039393,LP10388
-34.909138,-58.036477,LP10393
-34.900635,-58.043296,LP10608
-34.905368,-58.044852,LP10615
-34.887208,-58.033424,LP10627
-34.889081,-58.034043,LP10629
-34.892232,-58.035158,LP10631
-34.894326,-58.035867,LP10633
-34.895558,-58.036242,LP10635
-34.899523,-58.037631,LP10637
-34.906300,-58.043961,LP10919
-34.907531,-58.042463,LP10921
-34.900933,-57.982375,LP10110
-34.902991,-57.979929,LP10114
-34.904460,-57.977799,LP10116
-34.905793,-57.976039,LP10118
-34.903463,-57.972123,LP10193
-34.905310,-57.974194,LP10194
-34.906454,-57.975374,LP10195
-34.897526,-57.989153,LP11007
-34.898599,-57.987737,LP11008
-34.899514,-57.984669,LP11009
-34.900553,-57.993552,LP2506
-34.897772,-57.990462,LP2508
-34.900201,-57.993627,LP2509
-34.898826,-58.042461,LP10386
-34.909006,-58.036654,LP10391
-34.900916,-58.043232,LP10607
-34.904083,-58.044519,LP10612
-34.904392,-58.044369,LP10613
-34.905360,-58.044787,LP10616
-34.886680,-58.033004,LP10626
-34.889382,-58.033944,LP10628
-34.892533,-58.035021,LP10630
-34.894126,-58.035719,LP10632
-34.895279,-58.036113,LP10634
-34.899663,-58.037716,LP10636
-34.906291,-58.043793,LP10918
-34.907101,-58.042784,LP10920
-34.899223,-58.039669,LP11556
-34.896585,-58.001832,LP2262
-34.901117,-57.995679,LP2340
-34.897518,-58.000587,LP2342
-34.898310,-57.999483,LP2344
-34.888767,-58.122887,LP10402
-34.869776,-58.098247,LP10471
-34.871178,-58.099750,LP10474
-34.874461,-58.103731,LP10476
-34.875280,-58.104600,LP10478
-34.876934,-58.106542,LP10481
-34.880437,-58.110908,LP10488
-34.883104,-58.113773,LP10492
-34.885665,-58.116712,LP10496
-34.887496,-58.118869,LP10498
-34.889049,-58.121332,LP10502
-34.873120,-58.102058,LP10507
-34.887832,-58.126292,LP10717
-34.929238,-57.957663,LP10138
-34.930669,-57.955903,LP10140
-34.923633,-57.954793,LP10220
-34.925516,-57.956574,LP10221
-34.926184,-57.957668,LP10222
-34.927416,-57.958741,LP10223
-34.931603,-57.953106,LP11595
-34.933805,-57.951428,LP2784
-34.935503,-57.949168,LP2786
-34.890606,-58.135661,LP10437
