Nombre,Hora,Diferencia_Minutos
[C] CEMENT. POR BELG. A GORINA,12:10:44,2
[BC] CEMENT. X BELG. A C BELL,12:10:45,0
[HX28] CLUB.EST. A ARCO.,12:13:44,3
[C] CEMENT. POR BELG. A GORINA,12:18:44,5
[A1] CEMENT. L.P. A 32 Y 120,12:20:44,2
[I] X CENTENARIO LOS PORTEÑOS,12:21:44,1
[G] X 19 X BELGRANO A.SEGUI,12:22:18,1
[D] X CENTENARIO A SEGUI,12:24:44,2
[HX28] CLUB.EST. A ARCO.,12:37:44,13
[F] X19 X CENTENARIO A GORINA,12:39:47,2
[A1] CEMENT. L.P. A 32 Y 120,12:40:44,1
[D] X CENTENARIO A SEGUI,12:42:44,2
[BG]CEMENT X BELG. A GUTIERREZ,12:43:45,1
[B11] CEMENT. X BELG. A C BELL,12:43:45,0
[G] X 19 X BELGRANO A.SEGUI,12:46:18,3
[I] X CENTENARIO LOS PORTEÑOS,12:53:44,7
[CX1Y50] X BELG. A GORINA,12:54:17,1
[5]- A BARRIO SAVOIA,12:58:08,4
[A1] CEMENT. L.P. A 32 Y 120,13:00:44,3
[D] X CENTENARIO A SEGUI,13:00:44,0
[BC] CEMENT. X BELG. A C BELL,13:00:45,0
[G] X BELGRANO X19 A SEGUI..,13:02:18,2
[F] X19 X CENTENARIO A GORINA,13:03:47,1
[C] CEMENT. POR BELG. A GORINA,13:08:44,5
[HX28] CLUB.EST. A ARCO.,13:08:44,0
[D] X CENTENARIO A SEGUI,13:18:44,10
[A1] CEMENT. L.P. A 32 Y 120,13:20:44,2
[G] X 19 X BELGRANO A.SEGUI,13:22:18,2
[BG]CEMENT X BELG. A GUTIERREZ,13:28:45,6
[B11] CEMENT. X BELG. A C BELL,13:31:45,3
[I] X CENTENARIO LOS PORTEÑOS,13:33:44,2
[D] X CENTENARIO A SEGUI,13:36:44,3
[C] CEMENT. POR BELG. A GORINA,13:38:44,2
[A1] CEMENT. L.P. A 32 Y 120,13:40:44,2
[HX28] CLUB.EST. A ARCO.,13:40:44,0
[G] X 19 X BELGRANO A.SEGUI,13:42:18,2
[D] X CENTENARIO A SEGUI,13:46:44,4
[D] X CENTENARIO A SEGUI,13:54:44,8
[C] CEMENT. POR BELG. A GORINA,13:58:44,4
[F] X19 X CENTENARIO A GORINA,13:58:47,0
[A1] CEMENT. L.P. A 32 Y 120,14:00:44,2
[BC] CEMENT. X BELG. A C BELL,14:01:45,1
[G] X BELGRANO X19 A SEGUI..,14:02:18,1
[I] X CENTENARIO LOS PORTEÑOS,14:09:44,7
[D] X CENTENARIO A SEGUI,14:12:44,3
[BG]CEMENT X BELG. A GUTIERREZ,14:13:45,1
[A1] CEMENT. L.P. A 32 Y 120,14:20:44,7
[G] X 19 X BELGRANO A.SEGUI,14:22:18,2
[F] X19 X CENTENARIO A GORINA,14:27:47,5
[C] CEMENT. POR BELG. A GORINA,14:30:44,3
[D] X CENTENARIO A SEGUI,14:30:44,0
[HX28] CLUB.EST. A ARCO.,14:31:44,1
[B11] CEMENT. X BELG. A C BELL,14:33:45,2
[A1] CEMENT. L.P. A 32 Y 120,14:38:44,5
[G] X BELGRANO X19 A SEGUI..,14:42:18,4
[D] X CENTENARIO A SEGUI,14:48:44,6
[HX28] CLUB.EST. A ARCO.,14:51:44,3
[BG]CEMENT X BELG. A GUTIERREZ,14:53:45,2
[I-AGRARIA] X LOMAS A RUTA 36,14:54:18,1
[CX1Y50] X BELG. A GORINA,14:55:17,1
[A1] CEMENT. L.P. A 32 Y 120,15:00:44,5
[BC] CEMENT. X BELG. A C BELL,15:01:45,1
[G] X 19 X BELGRANO A.SEGUI,15:02:18,1
[5]- A BARRIO SAVOIA,15:03:08,1
[F] X19 X CENTENARIO A GORINA,15:03:47,1
[D] X CENTENARIO A SEGUI,15:10:44,7
[A1] CEMENT. L.P. A 32 Y 120,15:16:44,6
[I] X CENTENARIO LOS PORTEÑOS,15:21:44,5
[D] X CENTENARIO A SEGUI,15:24:44,3
[C] CEMENT. POR BELG. A GORINA,15:25:44,1
[HX28] CLUB.EST. A ARCO.,15:28:44,3
[B11] CEMENT. X BELG. A C BELL,15:31:45,3
[G] X BELGRANO X19 A SEGUI..,15:32:18,1
[BG]CEMENT X BELG. A GUTIERREZ,15:38:45,6
[F] X19 X CENTENARIO A GORINA,15:42:47,4
[D] X CENTENARIO A SEGUI,15:46:44,4
[I] X CENTENARIO LOS PORTEÑOS,15:48:44,2
[A1] CEMENT. L.P. A 32 Y 120,15:50:44,2
[HX28] CLUB.EST. A ARCO.,15:57:44,7
[C] CEMENT. POR BELG. A GORINA,15:58:44,1
[D] X CENTENARIO A SEGUI,15:58:44,0
[BC] CEMENT. X BELG. A C BELL,16:01:45,3
[G] X 19 X BELGRANO A.SEGUI,16:02:18,1
[A1] CEMENT. L.P. A 32 Y 120,16:04:44,2
[I] X CENTENARIO LOS PORTEÑOS,16:08:44,4
[HX28] CLUB.EST. A ARCO.,16:13:44,5
[D] X CENTENARIO A SEGUI,16:14:44,1
[F] X19 X CENTENARIO A GORINA,16:16:47,2
[C] CEMENT. POR BELG. A GORINA,16:23:44,7
[BG]CEMENT X BELG. A GUTIERREZ,16:23:45,0
[D] X CENTENARIO A SEGUI,16:30:44,7
[B11] CEMENT. X BELG. A C BELL,16:31:45,1
[G] X 19 X BELGRANO A.SEGUI,16:32:18,1
[I] X CENTENARIO LOS PORTEÑOS,16:37:44,5
[A1] CEMENT. L.P. A 32 Y 120,16:38:44,1
[I-AGRARIA] X LOMAS A RUTA 36,16:44:18,6
[D] X CENTENARIO A SEGUI,16:46:44,2
[5]- A BARRIO SAVOIA,16:53:08,6
[BG]CEMENT X BELG. A GUTIERREZ,16:53:45,1
[F] X19 X CENTENARIO A GORINA,16:54:47,1
[G] X BELGRANO X19 A SEGUI..,16:58:18,4
[HX28] CLUB.EST. A ARCO.,17:02:44,4
[CX1Y50] X BELG. A GORINA,17:04:17,2
[D] X CENTENARIO A SEGUI,17:04:44,0
[A1] CEMENT. L.P. A 32 Y 120,17:06:44,2
[G] X 19 X BELGRANO A.SEGUI,17:13:18,7
[F] X19 X CENTENARIO A GORINA,17:18:47,5
[D] X CENTENARIO A SEGUI,17:22:44,4
[G] X 19 X BELGRANO A.SEGUI,17:23:18,1
[BG]CEMENT X BELG. A GUTIERREZ,17:23:45,0
[B11] CEMENT. X BELG. A C BELL,17:23:45,0
[I] X CENTENARIO LOS PORTEÑOS,17:24:44,1
[A1] CEMENT. L.P. A 32 Y 120,17:25:44,1
[G] X 19 X BELGRANO A.SEGUI,17:32:18,7
[C] CEMENT. POR BELG. A GORINA,17:36:44,4
[HX28] CLUB.EST. A ARCO.,17:38:44,2
[D] X CENTENARIO A SEGUI,17:40:44,2
[C] CEMENT. POR BELG. A GORINA,17:48:44,8
[F] X19 X CENTENARIO A GORINA,17:48:47,0
[A1] CEMENT. L.P. A 32 Y 120,17:50:44,2
[BG]CEMENT X BELG. A GUTIERREZ,17:53:45,3
[D] X CENTENARIO A SEGUI,17:54:44,1
[G] X BELGRANO X19 A SEGUI..,17:58:18,4
[I] X CENTENARIO LOS PORTEÑOS,18:00:44,2
[BC] CEMENT. X BELG. A C BELL,18:01:45,1
[D] X CENTENARIO A SEGUI,18:04:44,3
[F] X19 X CENTENARIO A GORINA,18:08:47,4
[HX28] CLUB.EST. A ARCO.,18:11:44,3
[A1] CEMENT. L.P. A 32 Y 120,18:15:44,4
[D] X CENTENARIO A SEGUI,18:20:44,5
[C] CEMENT. POR BELG. A GORINA,18:25:44,5
[F] X19 X CENTENARIO A GORINA,18:28:47,3
[B11] CEMENT. X BELG. A C BELL,18:31:45,3
[G] X 19 X BELGRANO A.SEGUI,18:32:18,1
[D] X CENTENARIO A SEGUI,18:36:44,4
[A1] CEMENT. L.P. A 32 Y 120,18:43:44,7
[HX28] CLUB.EST. A ARCO.,18:43:44,0
[BG]CEMENT X BELG. A GUTIERREZ,18:43:45,0
[F] X19 X CENTENARIO A GORINA,18:48:47,5
[5]- A BARRIO SAVOIA,18:53:08,4
[I] X CENTENARIO LOS PORTEÑOS,18:55:44,3
[D] X CENTENARIO A SEGUI,18:56:44,1
[BC] CEMENT. X BELG. A C BELL,18:56:45,0
[G] X 19 X BELGRANO A.SEGUI,19:02:18,6
[A1] CEMENT. L.P. A 32 Y 120,19:05:44,3
[CX1Y50] X BELG. A GORINA,19:09:17,4
[D] X CENTENARIO A SEGUI,19:16:44,7
[G] X BELGRANO X19 A SEGUI..,19:18:18,2
[F] X19 X CENTENARIO A GORINA,19:28:47,10
[B11] CEMENT. X BELG. A C BELL,19:31:45,3
[G] X 19 X BELGRANO A.SEGUI,19:32:18,1
[BG]CEMENT X BELG. A GUTIERREZ,19:33:45,1
[A1] CEMENT. L.P. A 32 Y 120,19:35:44,2
[D] X CENTENARIO A SEGUI,19:36:44,1
[C] CEMENT. POR BELG. A GORINA,19:37:44,1
[HX28] CLUB.EST. A ARCO.,19:40:44,3
[I] X CENTENARIO LOS PORTEÑOS,19:50:44,10
